Limit,Type,0,1,2,3,4,
100,bubble,0.00001,0.00001,0.00001,0.00001,0.00001,
,built-in,0.00000,0.00000,0.00000,0.00000,0.00000,
,index,0.00001,0.00000,0.00000,0.00000,0.00000,
1000,bubble,0.00005,0.00005,0.00005,0.00005,0.00005,
,built-in,0.00000,0.00000,0.00002,0.00001,0.00000,
,index,0.00001,0.00001,0.00001,0.00001,0.00001,
10000,bubble,0.00058,0.00048,0.00031,0.00029,0.00050,
,built-in,0.00001,0.00001,0.00001,0.00001,0.00000,
,index,0.00011,0.00011,0.00014,0.00013,0.00010,
100000,bubble,0.00578,0.00502,0.00594,0.00523,0.00428,
,built-in,0.00001,0.00000,0.00001,0.00001,0.00001,
,index,0.00127,0.00194,0.00152,0.00145,0.00117,
1000000,bubble,0.05824,0.05583,0.05611,0.05885,0.05636,
,built-in,0.00002,0.00001,0.00001,0.00001,0.00001,
,index,0.01369,0.01243,0.01279,0.01279,0.01282,
